# Description: S&P 500 investment options. 09/29/2020

# Format
"Investment Option","Asset Class","1 mo","3 mo","1 Yr","3 Yr","5 Yr","Vola","DS Vola","Std Dev"
# Note: "Description" field is optional
"US Stocks","US Stocks","-41.61","-11.69","-1.09","14.06","13.74","18.54","12.37","18.63"
"Global Stocks","Global Stocks","-40.01","-28.45","-9.78","5.39","5.84","15.30","9.39","17.10"
"US Bonds","US Bonds","-38.46","-29.22","-9.90","-0.06","0.90","6.97","4.98","4.68"
"Global Bonds","Global Bonds","-28.42","-23.91","-7.44","-0.24","1.37","4.97","3.48","4.25"
"Cash Equivalents","Cash Equivalents","-0.13","0.00","-0.09","0.54","0.92","0.18","0.10","0.27"
"Real Estate","Real Estate","85.32","18.36","13.05","11.36","8.85","20.09","7.95","18.74"
"Commodities","Commodities","-3.47","131.53","53.91","19.29","13.28","27.45","18.02","21.00"
"Currencies","Currencies","11.94","35.83","7.01","3.39","1.70","5.25","2.79","7.71"
"Managed Futures","Managed Futures","20.41","31.74","2.32","1.24","1.08","5.24","2.22","5.62"
"Balanced","Balanced","-35.49","-23.85","-6.30","4.53","4.95","8.26","5.88","7.92"
"Risk-Free Asset","Risk-Free Asset","-0.13","0.00","-0.09","0.54","0.92","0.18","0.10","0.27"
"US Stocks:Large Cap","US Stocks:Large Cap","-38.74","-10.47","2.57","14.89","14.44","17.95","12.40","17.87"
"US Stocks:Mid Cap","US Stocks:Mid Cap","-30.34","-0.40","-5.13","10.64","9.90","20.56","12.72","21.89"
"US Stocks:Small Cap","US Stocks:Small Cap","-49.30","-8.47","-14.52","7.83","8.17","22.82","14.04","23.61"
"US Stocks:Growth","US Stocks:Growth","-60.82","-26.35","-3.67","20.43","20.52","25.78","15.64","20.63"
"US Stocks:Growth and Income","US Stocks:Growth and Income","-41.11","-10.51","2.60","14.95","14.50","17.88","12.36","17.92"
"US Stocks:Value","US Stocks:Value","-19.48","0.45","3.62","10.47","9.52","14.86","10.59","18.92"
"US Stocks:Total Stock Market","US Stocks:Total Stock Market","-41.25","-10.47","-0.10","14.51","14.07","18.71","12.41","18.54"
"US Stocks:Materials","US Stocks:Materials","-10.79","9.98","5.24","16.67","12.64","18.79","14.10","21.68"
"US Stocks:Communication Services","US Stocks:Communication Services","-69.73","-47.50","-19.14","8.09","8.09","27.34","18.27","20.10"
"US Stocks:Energy","US Stocks:Energy","-9.97","130.26","67.60","10.56","7.43","27.51","17.69","41.45"
"US Stocks:Financials","US Stocks:Financials","-55.71","-18.36","3.98","12.00","11.50","17.28","12.82","23.00"
"US Stocks:Industrials","US Stocks:Industrials","-37.05","-9.31","-1.77","9.68","10.50","15.10","10.37","21.50"
"US Stocks:Technology","US Stocks:Technology","-59.58","-25.57","1.00","23.26","23.38","25.14","16.32","21.12"
"US Stocks:Consumer Staples","US Stocks:Consumer Staples","130.99","20.59","16.67","14.69","10.52","12.42","6.00","13.88"
"US Stocks:Real Estate","US Stocks:Real Estate","120.60","22.89","17.64","14.17","12.03","20.25","8.17","17.62"
"US Stocks:Utilities","US Stocks:Utilities","70.81","35.34","12.39","11.44","10.55","15.67","8.89","17.23"
"US Stocks:Healthcare","US Stocks:Healthcare","-3.26","15.05","9.64","17.38","14.58","20.57","14.35","15.60"
"US Stocks:Consumer Discretionary","US Stocks:Consumer Discretionary","-35.06","-9.26","-0.53","14.56","16.04","27.87","14.79","21.70"
"Global Stocks:Asia","Global Stocks:Asia","-52.72","-28.29","-16.40","3.51","4.30","15.56","9.48","15.21"
"Global Stocks:Developed Markets","Global Stocks:Developed Markets","-34.94","-27.39","-9.66","4.50","5.24","15.56","9.27","16.67"
"Global Stocks:Emerging Markets","Global Stocks:Emerging Markets","-53.47","-44.04","-20.93","1.06","3.68","17.95","10.02","18.01"
"Global Stocks:Europe","Global Stocks:Europe","-21.25","-28.63","-7.91","5.54","6.14","16.05","9.44","19.39"
"Global Stocks:EX-US","Global Stocks:EX-US","-40.01","-28.45","-9.78","5.39","5.84","15.30","9.39","17.10"
"US Bonds:Investment Grade","US Bonds:Investment Grade","-48.75","-38.59","-11.86","1.05","2.05","11.61","8.01","8.59"
"US Bonds:High Yield","US Bonds:High Yield","-26.13","-22.76","-5.49","1.86","2.99","9.77","5.56","9.29"
"US Bonds:Preferred Stock","US Bonds:Preferred Stock","-38.51","-33.81","-10.71","1.51","1.99","10.80","7.40","11.92"
"US Bonds:Treasury notes (T-notes)","US Bonds:Treasury notes (T-notes)","-26.63","-21.41","-7.80","0.28","0.70","5.51","4.19","3.84"
"US Bonds:Treasury bonds (T-bonds)","US Bonds:Treasury bonds (T-bonds)","-66.69","-51.29","-13.97","0.33","1.26","16.23","10.84","14.96"
"US Bonds:Treasury Inflation-Protected Securities (TIPS)","US Bonds:Treasury Inflation-Protected Securities (TIPS)","-39.37","-13.71","-2.60","4.02","3.06","6.81","4.91","4.76"
"Global Bonds:Investment Grade Corp","Global Bonds:Investment Grade Corp","-43.91","-38.57","-17.84","-2.47","-0.25","8.30","5.08","9.38"
"Global Bonds:Investment Grade Treasury","Global Bonds:Investment Grade Treasury","-49.85","-39.58","-17.54","-2.92","-0.92","9.35","6.15","7.24"
"Global Bonds:Emerging Markets Gov","Global Bonds:Emerging Markets Gov","-24.74","-33.43","-14.57","-2.62","-1.22","10.81","6.95","9.69"
"Global Bonds:Short Term Treasury","Global Bonds:Short Term Treasury","-33.68","-27.06","-12.69","-2.32","-1.13","6.26","3.37","5.28"
"Cash Equivalents:Money Markets","Cash Equivalents:Money Markets","-0.17","-1.35","-0.37","1.23","1.23","0.69","0.43","1.46"
"Cash Equivalents:Treasury Bills (T-bills)","Cash Equivalents:Treasury Bills (T-bills)","-0.13","0.00","-0.09","0.54","0.92","0.18","0.10","0.27"
"Real Estate:REIT","Real Estate:REIT","87.10","18.84","14.07","11.22","9.57","19.28","7.57","19.07"
"Real Estate:Real Estate Funds","Real Estate:Real Estate Funds","85.32","18.36","13.05","11.36","8.85","20.09","7.95","18.74"
"Commodities:Gold","Commodities:Gold","-9.58","23.31","8.35","14.38","8.07","11.51","8.34","14.90"
"Commodities:Silver","Commodities:Silver","-38.74","-1.25","-7.58","16.80","5.56","19.55","14.06","33.90"
"Commodities:Cooper","Commodities:Cooper","-42.65","5.65","4.19","15.06","10.83","18.07","11.20","21.55"
"Commodities:Platinum","Commodities:Platinum","-70.23","-34.14","-25.01","1.10","-1.49","24.63","17.58","24.07"
"Commodities:Palladium","Commodities:Palladium","-54.25","57.49","-17.92","17.90","23.62","59.06","34.97","33.85"
"Commodities:Oil","Commodities:Oil","-57.50","148.48","79.72","-11.32","-1.56","49.36","33.77","56.10"
"Commodities:Natural Gas","Commodities:Natural Gas","1486.21","801.61","125.65","1.61","-5.17","62.01","35.79","53.04"
"Commodities:Gasoline","Commodities:Gasoline","-36.40","184.11","81.56","20.98","17.33","48.77","33.08","52.40"
"Commodities:Corn","Commodities:Corn","130.97","185.69","44.63","25.13","9.26","21.15","10.83","20.20"
"Commodities:Sugar","Commodities:Sugar","-6.06","17.59","19.92","8.75","-3.61","23.26","16.15","21.06"
"Commodities:Agriculture","Commodities:Agriculture","5.53","50.82","22.62","11.73","3.51","13.38","7.28","12.32"
"Commodities:Base Metals","Commodities:Base Metals","-38.13","47.26","29.08","16.14","10.81","18.19","10.42","16.89"
"Commodities:Energy","Commodities:Energy","-1.46","194.35","79.90","17.04","15.35","39.30","26.10","33.01"
"Commodities:Precious Metals","Commodities:Precious Metals","-18.65","16.67","3.87","13.29","6.28","13.04","9.78","17.14"
"Currencies:US Dollar","Currencies:US Dollar","35.73","24.46","10.63","1.62","1.58","6.00","3.65","5.56"
"Currencies:Euro","Currencies:Euro","-21.70","-18.97","-11.74","-2.02","-0.72","7.50","4.47","6.02"
"Currencies:Japanese Yen","Currencies:Japanese Yen","-51.66","-39.34","-16.55","-4.98","-3.77","9.95","6.99","6.22"
"Currencies:Swiss Franc","Currencies:Swiss Franc","-29.05","-18.57","-5.66","0.98","-0.32","6.17","4.01","6.47"
"Currencies:Australian Dollar","Currencies:Australian Dollar","-34.98","2.95","-7.02","0.85","-0.58","10.37","7.64","10.54"
"Currencies:Canadian Dollar","Currencies:Canadian Dollar","-14.50","-4.60","-2.35","1.86","1.28","7.36","4.66","6.21"
"Currencies:British Pound","Currencies:British Pound","-29.73","-20.09","-7.99","-0.50","-0.23","7.16","5.63","8.08"
"Currencies:Chinese Yuan","Currencies:Chinese Yuan","-21.28","-8.35","-4.43","1.12","2.46","5.78","4.10","5.85"
