# Description: S&P 400 investment options. 10/02/2020

# Format
"Investment Option","Description","Asset Class","1 mo","3 mo","1 Yr","3 Yr","5 Yr","Vola","DS Vola","Std Dev"
# Note: "Description" field is optional
"AA","Alcoa","US Stocks:Materials","-89.11","-10.66","15.40","-13.06","12.97","36.82","29.69","58.17"
"AAL","American Airlines Group","US Stocks:Industrials","516.01","527.74","26.49","-1.98","-9.62","63.01","14.31","41.06"
"AAON","AAON","US Stocks:Industrials","-74.79","45.86","60.07","31.08","29.75","35.18","27.94","38.95"
"ACHC","Acadia Healthcare","US Stocks:Healthcare","-39.61","-76.89","-47.90","-11.97","4.29","23.26","12.11","36.73"
"ACM","AECOM","US Stocks:Industrials","-63.67","19.26","17.47","12.41","20.33","12.58","11.02","22.48"
"ADC","Agree Realty","US Stocks:Real Estate","-59.70","-24.25","14.62","3.91","4.31","18.45","13.18","18.22"
"AFG","American Financial Group","US Stocks:Financials","-51.79","4.14","18.48","6.38","14.69","15.73","11.03","21.47"
"AGCO","AGCO","US Stocks:Industrials","-71.91","-25.03","-22.87","-3.66","6.83","27.47","17.53","34.29"
"AIT","Applied Industrial Technologies","US Stocks:Industrials","-80.05","33.10","40.88","33.03","30.60","16.75","14.79","26.09"
"ALE","ALLETE","US Stocks:Utilities","1.12","4.11","7.86","3.55","-0.38","4.29","2.67","21.43"
"ALGM","Allegro MicroSystems","US Stocks:Technology","16.60","22.08","-22.66","-13.79","-13.79","38.49","21.09","48.16"
"ALLY","Ally Financial","US Stocks:Financials","-66.78","18.91","4.31","-5.98","6.68","24.46","20.80","40.51"
"ALTM","Arcadium Lithium","US Stocks:Materials","0.00","930.45","-31.22","-20.64","7.74","29.90","11.92","80.73"
"ALTR","Altair Engineering","US Stocks:Technology","47.44","76.55","39.98","13.66","24.78","9.74","4.38","31.55"
"ALV","Autoliv","US Stocks:Consumer Discretionary","-61.63","-3.85","-14.47","-0.77","3.94","19.55","14.30","34.68"
"AM","Antero Midstream","US Stocks:Energy","12.39","4.25","30.84","26.61","30.07","25.77","14.92","23.50"
"AMED","Amedisys","US Stocks:Healthcare","-4.38","-19.48","-4.29","-17.76","-11.47","19.48","7.03","32.51"
"AMG","Affiliated Managers Group","US Stocks:Financials","10.08","15.59","24.76","4.15","17.33","22.10","15.76","30.81"
"AMH","American Homes 4 Rent","US Stocks:Real Estate","-19.80","-11.30","3.40","-3.11","9.12","15.59","11.05","20.05"
"AMKR","Amkor Technology","US Stocks:Technology","-29.74","-36.81","-16.63","3.18","15.70","29.31","17.31","50.26"
"AN","AutoNation","US Stocks:Consumer Discretionary","-59.28","-14.41","10.78","13.89","28.07","17.66","12.40","35.83"
"ANF","Abercrombie & Fitch","US Stocks:Consumer Discretionary","-26.99","72.47","68.47","63.07","55.56","56.31","37.33","60.97"
"APPF","AppFolio","US Stocks:Technology","-30.96","42.92","46.63","26.44","17.96","24.82","17.25","33.81"
"AR","Antero Resources","US Stocks:Energy","285.05","119.29","57.25","23.88","66.86","42.13","16.41","51.99"
"ARMK","Aramark","US Stocks:Consumer Discretionary","-64.57","-11.63","33.85","13.05","4.61","23.54","18.62","26.74"
"ARW","Arrow Electronics","US Stocks:Technology","-68.39","-47.71","-7.10","-6.46","5.70","17.60","9.84","27.05"
"ARWR","Arrowhead Pharmaceuticals","US Stocks:Healthcare","-97.03","9.25","-36.63","-33.48","-21.08","63.26","47.81","59.70"
"ASB","Associated Bank","US Stocks:Financials","-73.11","76.95","12.86","5.45","5.67","22.58","18.57","32.60"
"ASGN","ASGN Inc.","US Stocks:Technology","-71.77","-39.91","-13.39","-12.68","2.94","21.61","16.83","25.98"
"ASH","Ashland Global","US Stocks:Materials","-81.28","-55.32","-15.61","-12.02","-0.39","14.84","10.90","20.25"
"ATR","AptarGroup","US Stocks:Materials","-74.51","-10.11","26.95","9.50","7.23","15.93","14.17","16.19"
