Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",view,1748824
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",view,1158449
AAT,American Assets Trust,Real Estate,Diversified REITs,"San Diego, California",view,1500217
ABCB,Ameris Bancorp,Financials,Regional Banks,"Atlanta, Georgia",view,351569
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,"Duluth, Georgia",view,1144980
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,"New York City, New York",view,771497
ABR,Arbor Realty Trust,Financials,Mortgage REITs,"Uniondale, New York",view,1253986
ACA,"Arcosa, Inc.",Industrials,Construction & Engineering,"Dallas, Texas",view,1739445
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,"San Diego, California",view,1070494
ACHC,Acadia Healthcare,Health Care,Health Care Facilities,"Franklin, Tennessee",view,1520697
ACIW,ACI Worldwide,Information Technology,Application Software,"Miami, Florida",view,935036
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Materials & Equipment,"Beverly, Massachusetts",view,1113232
ACMR,"ACM Research, Inc.",Information Technology,Semiconductor Materials & Equipment,"Fremont, California",view,1680062
ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Raleigh, North Carolina",view,1823529
ADAM,"Adamas Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York",view,1273685
ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services,"San Jose, California",view,1803696
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,"Ramsey, New Jersey",view,1368514
ADNT,Adient,Consumer Discretionary,Automotive Parts & Equipment,"Plymouth, Michigan",view,1670541
ADT,ADT Inc.,Consumer Discretionary,Specialized Consumer Services,"Boca Raton, Florida",view,1703056
ADUS,Addus HomeCare Corp.,Health Care,Health Care Services,"Frisco, Texas",view,1468328
